t_s,F_mN,V_HV_kV,I_HV_mA,P_in_W,thrust_N,P_HV_W,eff_N_per_W,eff_N_per_kW,sys_eff
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,20.0,3.0,90.0,0.006,60.0,6.666666666666667e-05,0.06666666666666667,0.6666666666666666
1.5,7.0,20.0,3.5,95.0,0.007,70.0,7.368421052631579e-05,0.07368421052631578,0.7368421052631579
2.0,8.0,20.0,4.0,100.0,0.008,80.0,8e-05,0.08,0.8
2.5,9.0,20.0,4.5,105.0,0.009000000000000001,90.0,8.571428571428573e-05,0.08571428571428573,0.8571428571428571
3.0,10.0,20.0,5.0,110.0,0.01,100.0,9.090909090909092e-05,0.09090909090909091,0.9090909090909091
3.5,9.0,20.0,4.5,105.0,0.009000000000000001,90.0,8.571428571428573e-05,0.08571428571428573,0.8571428571428571
4.0,8.0,20.0,4.0,100.0,0.008,80.0,8e-05,0.08,0.8
4.5,7.0,20.0,3.5,95.0,0.007,70.0,7.368421052631579e-05,0.07368421052631578,0.7368421052631579
5.0,6.0,20.0,3.0,90.0,0.006,60.0,6.666666666666667e-05,0.06666666666666667,0.6666666666666666
5.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
